epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37279,2.05421,5.43652,1.75813,0.00651,0.07384,0.01401,0.00928,1.62504,5.29305,1.3973,4.046e-05,4.046e-05,4.046e-05
2,11.4448,1.51307,3.44051,1.4185,0.77985,0.08429,0.09029,0.07531,1.1767,3.3965,1.26604,8.30251e-05,8.30251e-05,8.30251e-05
3,15.8019,1.30661,2.52977,1.28887,0.62912,0.23407,0.18107,0.14193,1.0374,2.02777,1.19779,0.000125307,0.000125307,0.000125307
4,20.0058,1.15668,1.9804,1.20796,0.71625,0.28434,0.29963,0.22172,0.95418,1.65324,1.14267,0.000167307,0.000167307,0.000167307
5,24.1175,1.05669,1.64853,1.13008,0.82371,0.29617,0.35105,0.2551,0.87062,1.32968,1.07036,0.000209024,0.000209024,0.000209024
6,28.2016,0.95774,1.41271,1.07818,0.49916,0.36475,0.35479,0.24828,0.88654,1.32304,1.09015,0.000234073,0.000234073,0.000234073
7,32.1977,1.00871,1.44456,1.10867,0.66562,0.35761,0.38965,0.28252,0.82945,1.22125,1.04323,0.000233288,0.000233288,0.000233288
8,36.3452,0.96154,1.3175,1.07947,0.71971,0.36906,0.41319,0.29669,0.81101,1.11948,1.03665,0.000232502,0.000232502,0.000232502
9,40.5848,0.93857,1.21759,1.07193,0.70555,0.37038,0.43057,0.31189,0.8778,1.02939,1.04383,0.000231717,0.000231717,0.000231717
10,44.678,0.89696,1.11992,1.05072,0.48522,0.48004,0.47245,0.34324,0.81679,0.96594,1.03109,0.000230931,0.000230931,0.000230931
11,48.9107,0.8697,1.0392,1.03068,0.60397,0.4591,0.48806,0.34095,0.80331,0.93383,1.04146,0.000230146,0.000230146,0.000230146
12,53.1115,0.86258,0.99673,1.03329,0.64216,0.49869,0.52804,0.36556,0.79633,0.90568,1.02879,0.000229361,0.000229361,0.000229361
13,57.2176,0.83251,0.93869,1.02226,0.67369,0.47711,0.53331,0.3647,0.80024,0.87733,1.03249,0.000228575,0.000228575,0.000228575
14,61.2822,0.79162,0.88959,0.98989,0.61738,0.50386,0.51536,0.35792,0.80009,0.93498,1.02848,0.00022779,0.00022779,0.00022779
15,65.6084,0.83223,0.92088,1.03032,0.72028,0.49876,0.52643,0.35624,0.82902,0.89653,1.03423,0.000227004,0.000227004,0.000227004
16,69.9864,0.81308,0.87713,1.00564,0.67137,0.5071,0.54611,0.37275,0.79544,0.85716,1.03766,0.000226219,0.000226219,0.000226219
17,74.4534,0.80753,0.84043,0.996,0.61104,0.5371,0.54669,0.37411,0.80068,0.79623,1.02209,0.000225434,0.000225434,0.000225434
18,78.9667,0.77773,0.79824,0.99478,0.69289,0.49005,0.58597,0.38584,0.76985,0.81774,1.02331,0.000224648,0.000224648,0.000224648
19,83.4963,0.78312,0.81308,0.99912,0.71164,0.51359,0.57946,0.39009,0.76513,0.80095,1.01664,0.000223863,0.000223863,0.000223863
20,87.9643,0.7699,0.79168,0.98808,0.73043,0.48284,0.56912,0.38221,0.7948,0.90199,1.04198,0.000223077,0.000223077,0.000223077
21,92.463,0.78193,0.79592,0.98211,0.75565,0.48734,0.5625,0.37877,0.78591,0.78441,1.03544,0.000222292,0.000222292,0.000222292
22,96.7279,0.74928,0.73433,0.97303,0.67395,0.52946,0.58411,0.38899,0.81475,0.80411,1.03471,0.000221507,0.000221507,0.000221507
23,100.837,0.73459,0.70689,0.96172,0.64461,0.56236,0.56387,0.37743,0.81733,0.77813,1.04592,0.000220721,0.000220721,0.000220721
24,105.093,0.73649,0.70808,0.96365,0.69744,0.53389,0.53434,0.36363,0.79239,0.79492,1.03098,0.000219936,0.000219936,0.000219936
25,109.367,0.7314,0.67631,0.95606,0.61721,0.54957,0.56464,0.38235,0.807,0.78821,1.03393,0.00021915,0.00021915,0.00021915
26,113.61,0.71102,0.68371,0.95425,0.7335,0.52365,0.57992,0.39852,0.78483,0.78233,1.01367,0.000218365,0.000218365,0.000218365
27,118.243,0.72061,0.69018,0.95437,0.76102,0.51601,0.58234,0.39444,0.79102,0.77814,1.03892,0.00021758,0.00021758,0.00021758
28,122.803,0.70374,0.66346,0.95493,0.65233,0.5254,0.58473,0.39674,0.80079,0.85641,1.04147,0.000216794,0.000216794,0.000216794
29,127.206,0.69875,0.663,0.94902,0.63307,0.53051,0.56509,0.39366,0.78103,0.80302,1.02789,0.000216009,0.000216009,0.000216009
30,131.866,0.70308,0.6753,0.96266,0.75044,0.52504,0.61064,0.41658,0.77726,0.79825,1.02442,0.000215223,0.000215223,0.000215223
31,136.203,0.71629,0.70729,0.96683,0.82029,0.48384,0.56185,0.39478,0.75553,0.75675,1.01197,0.000214438,0.000214438,0.000214438
32,140.585,0.68457,0.62774,0.94121,0.69866,0.52617,0.55468,0.38587,0.76606,0.74313,1.01725,0.000213653,0.000213653,0.000213653
33,144.989,0.70635,0.65861,0.95761,0.62151,0.53699,0.56175,0.39212,0.80858,0.73921,1.04908,0.000212867,0.000212867,0.000212867
34,149.301,0.69186,0.64214,0.95537,0.64494,0.58484,0.59572,0.40464,0.79107,0.70505,1.03493,0.000212082,0.000212082,0.000212082
35,153.376,0.66429,0.62701,0.94377,0.64961,0.55135,0.57345,0.38398,0.79854,0.72641,1.03991,0.000211296,0.000211296,0.000211296
36,157.427,0.69268,0.63387,0.94219,0.76382,0.56744,0.64196,0.42851,0.77211,0.71424,1.03027,0.000210511,0.000210511,0.000210511
37,161.46,0.68882,0.64352,0.95377,0.76682,0.54702,0.63435,0.41958,0.76568,0.71843,1.03312,0.000209726,0.000209726,0.000209726
38,165.663,0.65641,0.59334,0.93306,0.72479,0.57058,0.59569,0.40558,0.75491,0.70766,1.01485,0.00020894,0.00020894,0.00020894
39,169.881,0.68013,0.63874,0.95075,0.69664,0.57118,0.62901,0.42098,0.78945,0.73652,1.04134,0.000208155,0.000208155,0.000208155
40,174.089,0.65785,0.61659,0.93308,0.63959,0.60248,0.626,0.42737,0.74776,0.70076,1.0236,0.000207369,0.000207369,0.000207369
41,178.282,0.65647,0.58588,0.93515,0.64767,0.58669,0.62011,0.43118,0.74789,0.69722,1.02221,0.000206584,0.000206584,0.000206584
42,182.458,0.63808,0.56903,0.92741,0.76221,0.50497,0.62598,0.42841,0.7547,0.71161,1.01891,0.000205799,0.000205799,0.000205799
43,186.47,0.62663,0.55917,0.91718,0.7914,0.50688,0.5905,0.40603,0.76784,0.75104,1.0212,0.000205013,0.000205013,0.000205013
44,190.711,0.62898,0.56882,0.92215,0.62191,0.58134,0.62301,0.42387,0.7525,0.71696,1.01691,0.000204228,0.000204228,0.000204228
45,194.662,0.63673,0.59011,0.92574,0.74505,0.53749,0.61803,0.43344,0.7452,0.7199,1.00417,0.000203442,0.000203442,0.000203442
46,198.742,0.6462,0.56815,0.92512,0.69421,0.56374,0.60696,0.43131,0.7156,0.74453,0.99482,0.000202657,0.000202657,0.000202657
47,202.762,0.62923,0.56268,0.92754,0.73763,0.53767,0.60318,0.42274,0.73001,0.7355,1.00539,0.000201872,0.000201872,0.000201872
48,206.804,0.62678,0.55695,0.9177,0.68005,0.57873,0.57142,0.40555,0.75504,0.72785,1.02626,0.000201086,0.000201086,0.000201086
49,210.876,0.65547,0.57557,0.92567,0.73518,0.5189,0.57566,0.4048,0.75394,0.7188,1.0247,0.000200301,0.000200301,0.000200301
50,214.892,0.61814,0.54814,0.91592,0.72724,0.49544,0.57516,0.40955,0.74229,0.71673,1.01448,0.000199515,0.000199515,0.000199515
51,219.101,0.62495,0.53595,0.9146,0.64834,0.59138,0.57414,0.40333,0.7551,0.72359,1.02183,0.00019873,0.00019873,0.00019873
52,223.384,0.60218,0.52305,0.90216,0.66534,0.58713,0.59847,0.41686,0.76389,0.71566,1.02678,0.000197945,0.000197945,0.000197945
53,227.651,0.59753,0.51886,0.90454,0.68662,0.56006,0.59349,0.4133,0.73982,0.72579,1.01286,0.000197159,0.000197159,0.000197159
54,231.646,0.6135,0.53486,0.92377,0.5984,0.56107,0.59631,0.40944,0.75766,0.74332,1.01567,0.000196374,0.000196374,0.000196374
55,235.69,0.61473,0.54129,0.91899,0.67112,0.50173,0.554,0.38759,0.77309,0.77798,1.02032,0.000195588,0.000195588,0.000195588
56,239.705,0.61678,0.5387,0.92392,0.61368,0.50871,0.56082,0.39157,0.72837,0.74015,1.00571,0.000194803,0.000194803,0.000194803
57,243.684,0.58768,0.51217,0.9072,0.64138,0.57329,0.57879,0.398,0.75367,0.71863,1.02116,0.000194018,0.000194018,0.000194018
58,247.6,0.60528,0.54981,0.91698,0.68461,0.51122,0.57578,0.39024,0.73369,0.70218,1.0058,0.000193232,0.000193232,0.000193232
59,251.59,0.60799,0.52824,0.91274,0.82941,0.4746,0.57975,0.40424,0.74736,0.74118,1.01135,0.000192447,0.000192447,0.000192447
60,255.594,0.63102,0.56056,0.93684,0.75049,0.56555,0.58621,0.41516,0.73224,0.7174,1.01686,0.000191661,0.000191661,0.000191661
61,259.493,0.59157,0.52112,0.91208,0.797,0.5191,0.59318,0.4191,0.75009,0.70136,1.01466,0.000190876,0.000190876,0.000190876
62,263.425,0.59153,0.52042,0.91277,0.78731,0.55223,0.60934,0.42036,0.75321,0.67778,1.02955,0.000190091,0.000190091,0.000190091
63,267.324,0.58437,0.50674,0.89635,0.70699,0.5981,0.59789,0.41799,0.73794,0.66743,1.01522,0.000189305,0.000189305,0.000189305
64,271.393,0.59026,0.51834,0.90945,0.75396,0.50411,0.59854,0.41856,0.72843,0.70927,1.01813,0.00018852,0.00018852,0.00018852
65,275.45,0.5883,0.50954,0.91062,0.74562,0.53014,0.59321,0.40666,0.75891,0.69604,1.03271,0.000187734,0.000187734,0.000187734
66,279.718,0.60341,0.52206,0.91242,0.80787,0.52905,0.58149,0.40973,0.7603,0.72489,1.0245,0.000186949,0.000186949,0.000186949
67,283.842,0.56981,0.50018,0.90671,0.75531,0.52343,0.56742,0.40184,0.75283,0.75881,1.02176,0.000186164,0.000186164,0.000186164
68,287.809,0.578,0.4914,0.90436,0.72094,0.55649,0.57263,0.39932,0.74601,0.68512,1.01543,0.000185378,0.000185378,0.000185378
69,291.889,0.58434,0.49553,0.90057,0.71065,0.53937,0.58671,0.40958,0.73129,0.70433,1.02117,0.000184593,0.000184593,0.000184593
70,296.055,0.5801,0.50574,0.91314,0.66098,0.58887,0.59864,0.4154,0.71521,0.72223,1.00127,0.000183807,0.000183807,0.000183807
71,300.354,0.59856,0.52879,0.91934,0.68701,0.56053,0.5922,0.41321,0.70724,0.73797,0.99524,0.000183022,0.000183022,0.000183022
72,304.593,0.57338,0.49786,0.90608,0.64169,0.56705,0.58398,0.39511,0.7127,0.74541,0.99983,0.000182237,0.000182237,0.000182237
73,308.871,0.58036,0.49526,0.90565,0.73533,0.53941,0.58505,0.40869,0.74827,0.73192,1.01705,0.000181451,0.000181451,0.000181451
74,313.077,0.57235,0.51045,0.90907,0.66077,0.55282,0.59155,0.409,0.71104,0.72892,1.00647,0.000180666,0.000180666,0.000180666
75,317.056,0.5643,0.49797,0.89995,0.74465,0.52718,0.59653,0.40583,0.7207,0.72424,1.013,0.00017988,0.00017988,0.00017988
76,321.109,0.57113,0.48455,0.90078,0.69758,0.51624,0.59712,0.40545,0.72011,0.70484,1.00936,0.000179095,0.000179095,0.000179095
77,325.168,0.55185,0.46618,0.88919,0.67388,0.54857,0.59759,0.40111,0.70797,0.68556,1.00414,0.00017831,0.00017831,0.00017831
78,329.237,0.55531,0.47632,0.89839,0.6622,0.55419,0.61497,0.42182,0.71708,0.68218,1.00774,0.000177524,0.000177524,0.000177524
79,333.387,0.54622,0.46662,0.89073,0.68206,0.5618,0.60895,0.42162,0.71126,0.69627,0.99983,0.000176739,0.000176739,0.000176739
80,337.572,0.58344,0.5033,0.90153,0.67411,0.56516,0.59956,0.42057,0.7278,0.70294,0.99958,0.000175953,0.000175953,0.000175953
81,341.541,0.53934,0.45643,0.8904,0.72156,0.58304,0.59842,0.41915,0.72625,0.67712,1.00883,0.000175168,0.000175168,0.000175168
82,345.484,0.52028,0.44859,0.8856,0.7511,0.54649,0.59342,0.41912,0.74069,0.6829,1.01005,0.000174383,0.000174383,0.000174383
83,349.507,0.55867,0.48137,0.89335,0.65878,0.59952,0.59732,0.41933,0.72813,0.68348,0.99833,0.000173597,0.000173597,0.000173597
84,353.614,0.53723,0.45003,0.89217,0.7062,0.5688,0.61112,0.42906,0.69237,0.66383,0.98931,0.000172812,0.000172812,0.000172812
85,357.81,0.54743,0.45408,0.89576,0.70368,0.56391,0.59921,0.42241,0.73463,0.68639,1.00142,0.000172026,0.000172026,0.000172026
86,361.995,0.53229,0.45541,0.88842,0.66848,0.58305,0.60053,0.4239,0.71657,0.69956,1.01075,0.000171241,0.000171241,0.000171241
87,366.244,0.54158,0.44081,0.89072,0.65956,0.55043,0.57669,0.41368,0.72011,0.71165,1.00983,0.000170456,0.000170456,0.000170456
88,370.661,0.53017,0.44268,0.88814,0.70014,0.56399,0.58865,0.41392,0.73328,0.70471,1.01632,0.00016967,0.00016967,0.00016967
89,374.957,0.52438,0.43827,0.88721,0.65668,0.58866,0.59677,0.41921,0.69663,0.66863,0.99544,0.000168885,0.000168885,0.000168885
90,379.32,0.54053,0.44465,0.8893,0.71657,0.56767,0.58745,0.41431,0.73256,0.68788,1.00841,0.000168099,0.000168099,0.000168099
91,383.415,0.55258,0.45286,0.8964,0.62875,0.58737,0.59169,0.4205,0.70966,0.66651,1.0124,0.000167314,0.000167314,0.000167314
92,387.416,0.53263,0.45441,0.89292,0.69347,0.58214,0.60001,0.42158,0.70426,0.63358,0.9974,0.000166529,0.000166529,0.000166529
93,391.492,0.53026,0.44445,0.88484,0.67292,0.61614,0.60747,0.42513,0.69099,0.64966,0.98579,0.000165743,0.000165743,0.000165743
94,395.629,0.51906,0.43066,0.88295,0.70692,0.58686,0.62026,0.42719,0.68404,0.68124,0.98416,0.000164958,0.000164958,0.000164958
95,399.899,0.53043,0.44803,0.89253,0.83613,0.54894,0.61668,0.43134,0.69832,0.69278,0.97923,0.000164172,0.000164172,0.000164172
