epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.133,1.30223,4.34914,1.21061,0.99113,0.08764,0.14,0.11725,1.07441,3.52187,1.00848,0.000164609,0.000164609,0.000164609
2,204.821,0.9959,2.44746,0.97658,0.9944,0.14138,0.20111,0.16155,0.93472,1.91452,0.96558,0.000330183,0.000330183,0.000330183
3,308.334,0.94346,2.11132,0.97408,0.88164,0.20028,0.27039,0.20287,0.85866,1.64678,0.95849,0.000494656,0.000494656,0.000494656
4,420.156,0.83793,1.67454,0.93791,0.86968,0.30384,0.33578,0.23712,0.79243,1.48269,0.92852,0.00049505,0.00049505,0.00049505
5,531.46,0.80875,1.49625,0.92335,0.70364,0.38908,0.34259,0.25548,0.79509,1.24033,0.92633,0.0004934,0.0004934,0.0004934
6,643.062,0.76025,1.34995,0.92553,0.67665,0.35504,0.38128,0.27431,0.7713,1.25682,0.92094,0.00049175,0.00049175,0.00049175
7,755.882,0.72941,1.19477,0.91668,0.69833,0.40182,0.37935,0.27576,0.77374,1.11187,0.93134,0.0004901,0.0004901,0.0004901
8,870.083,0.72281,1.20842,0.90644,0.70662,0.4629,0.47339,0.34663,0.76752,1.30652,0.91945,0.00048845,0.00048845,0.00048845
9,981.255,0.72524,1.16007,0.91149,0.72976,0.41673,0.45025,0.33127,0.74411,1.14363,0.92573,0.0004868,0.0004868,0.0004868
10,1094.6,0.71535,1.05521,0.91693,0.78612,0.51078,0.54253,0.402,0.74221,0.95268,0.92023,0.00048515,0.00048515,0.00048515
11,1207.22,0.69789,1.00492,0.89714,0.65741,0.59179,0.54554,0.39935,0.77807,0.9878,0.92789,0.0004835,0.0004835,0.0004835
12,1319.1,0.69437,1.01548,0.90798,0.75045,0.58987,0.5779,0.4268,0.73611,0.92591,0.91166,0.00048185,0.00048185,0.00048185
13,1430.54,0.66287,0.91889,0.9034,0.80315,0.54005,0.58667,0.44366,0.73999,0.90377,0.9162,0.0004802,0.0004802,0.0004802
14,1542.47,0.65313,0.91478,0.89085,0.8374,0.47819,0.61091,0.4579,0.72886,0.95471,0.90986,0.00047855,0.00047855,0.00047855
15,1654.69,0.6466,0.85846,0.88017,0.68821,0.55943,0.55557,0.39635,0.71555,0.84118,0.90948,0.0004769,0.0004769,0.0004769
16,1766.81,0.67599,0.85294,0.89613,0.73283,0.50867,0.55226,0.40314,0.74924,0.90663,0.91637,0.00047525,0.00047525,0.00047525
17,1880.84,0.63479,0.80337,0.88489,0.67487,0.59616,0.5685,0.4143,0.7042,0.85714,0.90644,0.0004736,0.0004736,0.0004736
18,1994.55,0.61645,0.77961,0.86647,0.75722,0.56114,0.5847,0.41726,0.70427,0.81213,0.89908,0.00047195,0.00047195,0.00047195
19,2109.26,0.61183,0.75438,0.87277,0.64585,0.62271,0.65268,0.46246,0.70898,0.80223,0.91061,0.0004703,0.0004703,0.0004703
20,2224.55,0.61018,0.72325,0.88073,0.78963,0.56039,0.64549,0.45969,0.70911,0.79952,0.9089,0.00046865,0.00046865,0.00046865
21,2337.19,0.60141,0.77519,0.88005,0.67475,0.59373,0.63336,0.46272,0.68806,0.7771,0.90621,0.000467,0.000467,0.000467
22,2450.78,0.58824,0.72916,0.872,0.71411,0.54915,0.60638,0.43863,0.7454,0.86779,0.92673,0.00046535,0.00046535,0.00046535
23,2565.26,0.60682,0.73229,0.86603,0.84348,0.54043,0.60057,0.42319,0.70365,0.80668,0.91501,0.0004637,0.0004637,0.0004637
24,2678.55,0.59374,0.70009,0.86814,0.6273,0.58576,0.63386,0.45787,0.72171,0.77361,0.91706,0.00046205,0.00046205,0.00046205
25,2792.11,0.57021,0.67284,0.8638,0.74943,0.53118,0.61747,0.45854,0.70201,0.76683,0.90899,0.0004604,0.0004604,0.0004604
26,2908.06,0.60703,0.73627,0.86523,0.81885,0.54733,0.62318,0.44496,0.71238,0.80002,0.91055,0.00045875,0.00045875,0.00045875
27,3023.85,0.58071,0.70473,0.88186,0.839,0.51261,0.64717,0.46229,0.71683,0.76997,0.91629,0.0004571,0.0004571,0.0004571
28,3139.03,0.5968,0.66905,0.87006,0.74838,0.55411,0.64065,0.46178,0.73543,0.78162,0.9138,0.00045545,0.00045545,0.00045545
29,3253.98,0.58246,0.64218,0.86222,0.7337,0.58653,0.62281,0.44111,0.7064,0.74554,0.9129,0.0004538,0.0004538,0.0004538
30,3369.33,0.59121,0.64576,0.86731,0.77335,0.51517,0.61978,0.44557,0.70228,0.76729,0.91654,0.00045215,0.00045215,0.00045215
31,3486.49,0.57317,0.64698,0.86125,0.6502,0.55124,0.62821,0.46799,0.70913,0.77217,0.91786,0.0004505,0.0004505,0.0004505
32,3603.55,0.56627,0.619,0.85879,0.7379,0.52754,0.64525,0.47489,0.70378,0.72312,0.91947,0.00044885,0.00044885,0.00044885
33,3716.25,0.58508,0.61649,0.87168,0.72015,0.56841,0.64123,0.46486,0.75266,0.70132,0.92751,0.0004472,0.0004472,0.0004472
34,3829.35,0.58916,0.63582,0.86939,0.79959,0.54948,0.6302,0.45543,0.73762,0.77223,0.92981,0.00044555,0.00044555,0.00044555
35,3943.44,0.58121,0.63323,0.85614,0.76877,0.5368,0.60598,0.42531,0.70927,0.73503,0.91811,0.0004439,0.0004439,0.0004439
36,4056.86,0.55017,0.5759,0.86059,0.7081,0.57728,0.59714,0.42304,0.68818,0.75245,0.9167,0.00044225,0.00044225,0.00044225
37,4171.58,0.54889,0.58089,0.85014,0.76297,0.55962,0.62903,0.42967,0.70858,0.72608,0.9235,0.0004406,0.0004406,0.0004406
38,4283.07,0.54084,0.5624,0.85315,0.80289,0.56005,0.65905,0.47388,0.71913,0.74686,0.92175,0.00043895,0.00043895,0.00043895
39,4395.76,0.54539,0.57111,0.85194,0.78082,0.55042,0.67769,0.48615,0.70801,0.68337,0.91724,0.0004373,0.0004373,0.0004373
40,4510.46,0.55209,0.58108,0.85667,0.83056,0.52398,0.62796,0.43697,0.69374,0.70752,0.90891,0.00043565,0.00043565,0.00043565
41,4622.79,0.53101,0.5523,0.84824,0.73382,0.59605,0.60688,0.42728,0.73694,0.73821,0.92359,0.000434,0.000434,0.000434
42,4736.06,0.53881,0.55865,0.84866,0.85116,0.5629,0.60347,0.41825,0.70944,0.71003,0.92218,0.00043235,0.00043235,0.00043235
