epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2639.54,1.05023,6.88292,1.15008,0.69494,0.05678,0.08577,0.07978,0.80051,5.69283,1.06395,0.000170324,0.000170324,0.000170324
2,5403.54,0.67349,2.47623,0.9428,0.7038,0.16634,0.19901,0.15334,0.76437,2.11771,1.06649,0.000338813,0.000338813,0.000338813
3,8270.98,0.66161,1.87789,0.94653,0.86758,0.41045,0.44836,0.33769,0.77245,1.60538,1.06442,0.000500359,0.000500359,0.000500359
4,10957.2,0.63451,1.41374,0.9415,0.87383,0.41426,0.48722,0.36369,0.70819,1.27539,1.0293,0.000494756,0.000494756,0.000494756
5,13635.1,0.62309,1.20272,0.92357,0.60372,0.48976,0.52638,0.39487,0.70633,1.00516,1.03165,0.000484341,0.000484341,0.000484341
6,16458.8,0.56947,1.02279,0.89971,0.85931,0.57815,0.61923,0.46185,0.69318,0.87345,1.02421,0.000473926,0.000473926,0.000473926
7,19208.1,0.56725,0.85804,0.90396,0.72213,0.63147,0.61898,0.47163,0.67152,0.84578,1.01357,0.000463511,0.000463511,0.000463511
8,21978.2,0.55156,0.74391,0.89962,0.77812,0.6426,0.67994,0.49823,0.6838,0.77255,1.03047,0.000453096,0.000453096,0.000453096
9,24705.4,0.54,0.64322,0.89266,0.86991,0.56597,0.68743,0.50237,0.74945,0.74621,1.06382,0.000442682,0.000442682,0.000442682
10,27518.1,0.54425,0.66108,0.89336,0.79363,0.65747,0.67347,0.5024,0.68889,0.75044,1.00618,0.000432267,0.000432267,0.000432267
11,30376.1,0.53815,0.64013,0.89333,0.82019,0.64801,0.66074,0.48779,0.71486,0.66722,1.02423,0.000421852,0.000421852,0.000421852
12,49182.4,0.51876,0.5525,0.89168,0.81127,0.62815,0.68303,0.48828,0.73277,0.64231,1.0372,0.000411437,0.000411437,0.000411437
