epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5716,1.75928,4.63873,1.24152,0,0,0,0,1.12083,4.59134,0.85291,0.000162602,0.000162602,0.000162602
2,66.5611,1.31029,2.85806,1.00205,0.99288,0.13494,0.14044,0.11775,1.13627,2.09931,0.91162,0.000328182,0.000328182,0.000328182
3,100.401,1.13356,1.96044,0.93797,0.99631,0.12197,0.14003,0.11623,1.13021,2.69363,0.90589,0.000492662,0.000492662,0.000492662
4,132.166,1.05915,1.74137,0.92027,0.99751,0.13864,0.1436,0.11951,0.94435,1.58601,0.83065,0.00049505,0.00049505,0.00049505
5,164.28,0.99971,1.59909,0.90605,0.92652,0.15052,0.16062,0.13133,0.92286,1.38431,0.79655,0.0004934,0.0004934,0.0004934
6,195.589,0.94493,1.3311,0.89273,0.74942,0.22059,0.2278,0.16155,0.83623,1.14414,0.77403,0.00049175,0.00049175,0.00049175
7,227.793,0.90297,1.22251,0.88711,0.9176,0.20363,0.23389,0.17897,0.83271,1.23936,0.80447,0.0004901,0.0004901,0.0004901
8,262.459,0.85811,1.11542,0.8788,0.87341,0.22904,0.29208,0.194,0.83539,1.02702,0.83554,0.00048845,0.00048845,0.00048845
9,305.767,0.81968,1.02347,0.87004,0.79795,0.31121,0.32017,0.21661,0.80448,0.95528,0.80174,0.0004868,0.0004868,0.0004868
10,346.29,0.81625,0.99494,0.87511,0.69595,0.33506,0.34188,0.24502,0.78226,0.94808,0.78636,0.00048515,0.00048515,0.00048515
11,386.118,0.78576,0.8931,0.85808,0.71295,0.33441,0.35312,0.23835,0.7786,0.91957,0.80607,0.0004835,0.0004835,0.0004835
12,426.436,0.73146,0.85727,0.8684,0.54873,0.34344,0.34761,0.21787,0.78253,0.97482,0.80161,0.00048185,0.00048185,0.00048185
13,465.976,0.74769,0.83224,0.86842,0.58736,0.35466,0.33116,0.2225,0.79042,0.97505,0.81281,0.0004802,0.0004802,0.0004802
14,505.293,0.74248,0.87331,0.86479,0.59009,0.36793,0.40803,0.24394,0.74871,0.90351,0.8082,0.00047855,0.00047855,0.00047855
15,547.461,0.72896,0.83453,0.85906,0.57279,0.44275,0.43599,0.25777,0.7876,0.91544,0.80704,0.0004769,0.0004769,0.0004769
16,591.496,0.77188,0.83718,0.86731,0.59424,0.39033,0.42247,0.25821,0.78724,0.82843,0.81063,0.00047525,0.00047525,0.00047525
17,629.58,0.7658,0.78088,0.86104,0.57815,0.41375,0.45569,0.26727,0.77381,0.9125,0.81626,0.0004736,0.0004736,0.0004736
18,667.88,0.72844,0.76127,0.8558,0.57956,0.47877,0.464,0.26249,0.778,0.87563,0.80515,0.00047195,0.00047195,0.00047195
19,711.272,0.72771,0.7519,0.85953,0.61268,0.46789,0.46737,0.27467,0.75983,0.83379,0.80382,0.0004703,0.0004703,0.0004703
20,754.163,0.69473,0.69856,0.85606,0.5673,0.45658,0.50143,0.28924,0.76904,0.82901,0.80061,0.00046865,0.00046865,0.00046865
21,796.963,0.69493,0.71317,0.85531,0.58834,0.40964,0.52301,0.30972,0.79577,0.83896,0.80346,0.000467,0.000467,0.000467
22,853.663,0.71457,0.73684,0.85696,0.60428,0.40807,0.50778,0.30277,0.74185,0.81219,0.80018,0.00046535,0.00046535,0.00046535
23,900.885,0.66795,0.67487,0.84958,0.52339,0.50084,0.48575,0.28898,0.74764,0.8043,0.80955,0.0004637,0.0004637,0.0004637
24,937.46,0.67047,0.68171,0.85044,0.54533,0.41972,0.42431,0.28262,0.72428,0.79683,0.80292,0.00046205,0.00046205,0.00046205
25,973.977,0.66051,0.6606,0.84671,0.5986,0.46135,0.45237,0.30183,0.74812,0.79984,0.80511,0.0004604,0.0004604,0.0004604
26,1010.21,0.67461,0.65674,0.84643,0.67089,0.38976,0.45569,0.29041,0.73734,0.72616,0.7965,0.00045875,0.00045875,0.00045875
27,1046.58,0.65089,0.66504,0.85781,0.60515,0.4959,0.48355,0.30014,0.72955,0.75708,0.79976,0.0004571,0.0004571,0.0004571
28,1082.87,0.65809,0.63528,0.85011,0.60593,0.48891,0.49506,0.30503,0.70178,0.71138,0.7936,0.00045545,0.00045545,0.00045545
29,1118.88,0.668,0.62284,0.84455,0.5464,0.39559,0.42029,0.29054,0.74354,0.76387,0.80392,0.0004538,0.0004538,0.0004538
30,1154.92,0.68695,0.64801,0.84831,0.52588,0.43004,0.44831,0.30881,0.71277,0.74847,0.79698,0.00045215,0.00045215,0.00045215
31,1190.77,0.62906,0.60119,0.83612,0.57374,0.5076,0.56372,0.35401,0.71898,0.76759,0.80994,0.0004505,0.0004505,0.0004505
32,1226.12,0.63769,0.59602,0.8336,0.52752,0.49104,0.50957,0.33556,0.72383,0.74934,0.82468,0.00044885,0.00044885,0.00044885
33,1261.18,0.65158,0.6147,0.85023,0.58579,0.46441,0.51409,0.3036,0.73662,0.76711,0.8231,0.0004472,0.0004472,0.0004472
34,1295.96,0.64594,0.60325,0.84089,0.70673,0.49831,0.54693,0.33162,0.7102,0.71923,0.80696,0.00044555,0.00044555,0.00044555
35,1331.36,0.6352,0.61009,0.83887,0.58918,0.4119,0.46499,0.31836,0.69977,0.72311,0.81243,0.0004439,0.0004439,0.0004439
36,1366.48,0.63836,0.58302,0.83644,0.64058,0.44943,0.52101,0.32571,0.70851,0.74313,0.80563,0.00044225,0.00044225,0.00044225
37,1402.26,0.62966,0.56552,0.83853,0.69663,0.46183,0.52131,0.3158,0.72157,0.75008,0.80743,0.0004406,0.0004406,0.0004406
38,1438.06,0.62939,0.54833,0.83756,0.63731,0.50764,0.55792,0.33741,0.69709,0.71783,0.81339,0.00043895,0.00043895,0.00043895
39,1473.7,0.62547,0.57221,0.83827,0.57004,0.50401,0.53389,0.33534,0.70298,0.78682,0.80977,0.0004373,0.0004373,0.0004373
40,1509.22,0.61966,0.56318,0.83965,0.66098,0.49468,0.49354,0.32176,0.68857,0.72246,0.80124,0.00043565,0.00043565,0.00043565
41,1544.37,0.61867,0.61066,0.8364,0.64189,0.51974,0.48435,0.31674,0.69138,0.72806,0.80513,0.000434,0.000434,0.000434
42,1579.62,0.60497,0.56426,0.8371,0.72349,0.43686,0.51722,0.32743,0.69273,0.6991,0.80587,0.00043235,0.00043235,0.00043235
43,1615.43,0.61014,0.54926,0.83234,0.68435,0.4925,0.51864,0.33463,0.69258,0.68616,0.80468,0.0004307,0.0004307,0.0004307
44,1651.21,0.62291,0.54964,0.83057,0.70526,0.47274,0.52573,0.33171,0.66651,0.65645,0.80582,0.00042905,0.00042905,0.00042905
45,1686.73,0.61811,0.5696,0.83381,0.74285,0.48929,0.53482,0.34005,0.6711,0.64463,0.81206,0.0004274,0.0004274,0.0004274
46,1722.54,0.59547,0.53938,0.82886,0.60265,0.42428,0.47344,0.31359,0.6976,0.76231,0.81243,0.00042575,0.00042575,0.00042575
