epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5251,1.52526,4.75317,1.41483,0.01626,0.08333,0.02574,0.01952,1.16571,4.43677,0.96393,7.228e-05,7.228e-05,7.228e-05
2,112.092,1.08423,3.63895,1.07143,0.08215,0.15306,0.15869,0.14196,0.8191,4.12044,0.89406,0.000148634,0.000148634,0.000148634
3,167.382,0.95024,2.34867,0.98977,0.04646,0.16497,0.16333,0.14645,0.87419,3.82304,0.94304,0.000223446,0.000223446,0.000223446
4,223.035,0.85006,2.1272,0.92077,0.04935,0.28163,0.16784,0.151,0.77768,3.49523,0.89654,0.000296718,0.000296718,0.000296718
5,280.616,0.76344,1.84911,0.9175,0.99991,0.16037,0.17587,0.16057,0.79651,2.85344,0.86993,0.000368448,0.000368448,0.000368448
6,342.13,0.75287,1.69654,0.9066,0.99446,0.20119,0.33403,0.27302,0.74314,2.49359,0.86009,0.000438637,0.000438637,0.000438637
7,410.932,0.74078,1.43379,0.90631,0.77771,0.35668,0.38103,0.29504,0.74723,1.82164,0.87499,0.000507284,0.000507284,0.000507284
8,474.413,0.71453,1.38035,0.90184,0.79604,0.37182,0.38736,0.29663,0.75583,1.81002,0.88931,0.000517469,0.000517469,0.000517469
9,537.079,0.67075,1.21783,0.88661,0.63494,0.44181,0.41423,0.30994,0.74384,1.35774,0.89483,0.000511965,0.000511965,0.000511965
10,598.804,0.64435,1.14233,0.89003,0.64228,0.3974,0.41759,0.31737,0.70781,1.48199,0.87649,0.00050646,0.00050646,0.00050646
11,662.887,0.63585,1.09536,0.88687,0.63526,0.35584,0.41662,0.31734,0.66485,1.45853,0.8853,0.000500956,0.000500956,0.000500956
12,729.159,0.59896,1.06185,0.89083,0.84261,0.36239,0.43583,0.31389,0.6963,1.2522,0.87552,0.000495452,0.000495452,0.000495452
13,799.54,0.61331,1.00206,0.87626,0.95325,0.33659,0.44155,0.32504,0.66585,1.28487,0.87021,0.000489947,0.000489947,0.000489947
14,869.884,0.59285,0.96956,0.86255,0.88666,0.40484,0.47728,0.34574,0.66424,1.17409,0.8546,0.000484443,0.000484443,0.000484443
15,932.219,0.59668,0.90996,0.86439,0.67225,0.40539,0.47436,0.35953,0.64021,1.09792,0.84846,0.000478938,0.000478938,0.000478938
16,994.065,0.60055,0.93184,0.86463,0.9408,0.42978,0.52335,0.37909,0.64327,1.07457,0.86241,0.000473434,0.000473434,0.000473434
17,1055.42,0.58054,0.93131,0.87327,0.75692,0.50704,0.53959,0.3821,0.63493,0.90764,0.8389,0.00046793,0.00046793,0.00046793
18,1115.84,0.57607,0.94661,0.87374,0.82462,0.49698,0.55188,0.38605,0.68224,0.91278,0.84918,0.000462425,0.000462425,0.000462425
19,1177.36,0.55638,0.8148,0.86692,0.78403,0.51109,0.55437,0.39554,0.61292,0.80321,0.83691,0.000456921,0.000456921,0.000456921
20,1239.03,0.54872,0.80167,0.86174,0.69067,0.55827,0.56728,0.40393,0.63878,0.86608,0.84451,0.000451416,0.000451416,0.000451416
21,1301.5,0.55829,0.79895,0.85388,0.81546,0.50542,0.5585,0.3895,0.61904,0.81818,0.84618,0.000445912,0.000445912,0.000445912
22,1362.88,0.52858,0.76582,0.85472,0.71006,0.54071,0.56094,0.40363,0.63651,0.90215,0.85561,0.000440408,0.000440408,0.000440408
23,1424.6,0.50969,0.72219,0.85217,0.76595,0.55048,0.54337,0.39622,0.6351,0.90574,0.85484,0.000434903,0.000434903,0.000434903
24,1487.85,0.52908,0.74105,0.85288,0.87048,0.51773,0.53675,0.37841,0.62523,0.86991,0.85835,0.000429399,0.000429399,0.000429399
25,1550.15,0.5236,0.72446,0.8487,0.76034,0.51446,0.50051,0.36244,0.62863,0.95102,0.85916,0.000423894,0.000423894,0.000423894
26,1612.1,0.50068,0.67417,0.84796,0.78982,0.50299,0.53055,0.37213,0.62394,0.84087,0.85862,0.00041839,0.00041839,0.00041839
27,1672.38,0.49472,0.67646,0.84801,0.79828,0.50925,0.52983,0.37831,0.63863,0.82375,0.86342,0.000412886,0.000412886,0.000412886
28,1733.87,0.50674,0.72449,0.84407,0.90113,0.50322,0.53736,0.38267,0.62055,0.78335,0.84995,0.000407381,0.000407381,0.000407381
29,1796.28,0.4923,0.70688,0.85687,0.8844,0.53076,0.56147,0.40001,0.62955,0.77291,0.85349,0.000401877,0.000401877,0.000401877
30,1858.85,0.4813,0.6593,0.84474,0.58967,0.54294,0.5415,0.38455,0.65435,0.77407,0.85487,0.000396372,0.000396372,0.000396372
31,1921.91,0.47008,0.67971,0.83372,0.69405,0.52887,0.54859,0.3895,0.64374,0.75998,0.8616,0.000390868,0.000390868,0.000390868
32,1985.19,0.47579,0.64627,0.84363,0.93045,0.53381,0.5719,0.40263,0.65483,0.77079,0.86788,0.000385364,0.000385364,0.000385364
33,2048.65,0.47691,0.63074,0.83391,0.81536,0.55426,0.57056,0.39894,0.61597,0.74576,0.84991,0.000379859,0.000379859,0.000379859
34,2111.28,0.48268,0.63981,0.85099,0.80606,0.54852,0.60447,0.41007,0.62739,0.78133,0.85927,0.000374355,0.000374355,0.000374355
35,2173.37,0.49483,0.64734,0.84509,0.79699,0.53282,0.57749,0.39826,0.63445,0.81066,0.85656,0.00036885,0.00036885,0.00036885
36,2236.15,0.46736,0.6289,0.83642,0.61104,0.5835,0.53934,0.38345,0.62139,0.83862,0.8529,0.000363346,0.000363346,0.000363346
37,2298.42,0.45173,0.59744,0.83103,0.68869,0.56107,0.55107,0.39596,0.6369,0.93197,0.85348,0.000357842,0.000357842,0.000357842
38,2361.01,0.46544,0.60532,0.83141,0.80879,0.50579,0.54263,0.39175,0.62452,0.75937,0.84582,0.000352337,0.000352337,0.000352337
39,2422.57,0.47372,0.6076,0.84261,0.82006,0.50052,0.57372,0.40063,0.65882,0.75828,0.86417,0.000346833,0.000346833,0.000346833
40,2485.8,0.47556,0.57696,0.83133,0.58861,0.52797,0.54925,0.3789,0.67015,0.77641,0.86835,0.000341328,0.000341328,0.000341328
41,2548.42,0.45283,0.56353,0.82684,0.68373,0.56538,0.55363,0.39076,0.64704,0.76786,0.87625,0.000335824,0.000335824,0.000335824
42,2611.56,0.47226,0.55192,0.84597,0.82538,0.53945,0.55599,0.39556,0.62523,0.73581,0.86379,0.00033032,0.00033032,0.00033032
43,2674.45,0.44493,0.56515,0.835,0.82143,0.54547,0.55736,0.39611,0.64254,0.7367,0.87444,0.000324815,0.000324815,0.000324815
44,2737.27,0.46479,0.55762,0.84547,0.71794,0.58528,0.55501,0.39558,0.61683,0.71499,0.86806,0.000319311,0.000319311,0.000319311
45,2800.14,0.4116,0.52521,0.82568,0.62067,0.57663,0.56709,0.40036,0.62406,0.69782,0.86152,0.000313806,0.000313806,0.000313806
46,2863.09,0.4279,0.5296,0.83077,0.62385,0.58038,0.56593,0.40599,0.61671,0.68966,0.85104,0.000308302,0.000308302,0.000308302
47,2926.41,0.4384,0.54385,0.82903,0.63307,0.5563,0.57121,0.4106,0.63654,0.70999,0.86723,0.000302798,0.000302798,0.000302798
48,2989.18,0.45329,0.53508,0.83916,0.63526,0.58318,0.57233,0.40527,0.60805,0.71776,0.85085,0.000297293,0.000297293,0.000297293
49,3052.32,0.42546,0.49661,0.82662,0.63556,0.58249,0.54358,0.38523,0.62158,0.76515,0.85153,0.000291789,0.000291789,0.000291789
50,3115.47,0.4538,0.53619,0.84283,0.75549,0.57174,0.58385,0.42089,0.62869,0.78326,0.85727,0.000286284,0.000286284,0.000286284
51,3178.69,0.43473,0.51953,0.83834,0.79654,0.5459,0.56688,0.41675,0.61069,0.74945,0.85256,0.00028078,0.00028078,0.00028078
52,3242.18,0.40711,0.48384,0.8239,0.70024,0.56382,0.57272,0.40737,0.62495,0.70152,0.85287,0.000275276,0.000275276,0.000275276
53,3305.16,0.42744,0.48683,0.82891,0.71222,0.56175,0.57658,0.41455,0.61278,0.69209,0.85122,0.000269771,0.000269771,0.000269771
54,3369.1,0.45227,0.51475,0.82967,0.6973,0.57187,0.58022,0.41963,0.6282,0.70344,0.85833,0.000264267,0.000264267,0.000264267
55,3431.53,0.43174,0.5418,0.83968,0.67117,0.57243,0.59037,0.41484,0.61207,0.75736,0.86118,0.000258762,0.000258762,0.000258762
56,3494.87,0.45459,0.52313,0.84291,0.66769,0.57274,0.57969,0.4138,0.60969,0.76775,0.85471,0.000253258,0.000253258,0.000253258
57,3559.26,0.41547,0.49576,0.8225,0.66616,0.57212,0.58199,0.40397,0.63639,0.76279,0.8607,0.000247754,0.000247754,0.000247754
58,3622.51,0.42122,0.4894,0.82863,0.665,0.57868,0.5962,0.41404,0.60721,0.7005,0.86164,0.000242249,0.000242249,0.000242249
59,3685.84,0.41037,0.46886,0.83237,0.73126,0.52732,0.55474,0.40198,0.61199,0.67478,0.86415,0.000236745,0.000236745,0.000236745
60,3749.32,0.43471,0.50542,0.82789,0.63361,0.57553,0.56178,0.41029,0.61561,0.66821,0.85936,0.00023124,0.00023124,0.00023124
61,3812.91,0.40221,0.46132,0.83081,0.65191,0.53837,0.55898,0.40641,0.61046,0.65726,0.86157,0.000225736,0.000225736,0.000225736
62,3876.42,0.40864,0.45668,0.82336,0.63827,0.57887,0.5661,0.40755,0.6195,0.6434,0.85938,0.000220232,0.000220232,0.000220232
63,3940.14,0.40942,0.4814,0.81775,0.64933,0.57996,0.56064,0.39797,0.65129,0.69425,0.87219,0.000214727,0.000214727,0.000214727
64,4003.81,0.39637,0.4748,0.81861,0.66306,0.58528,0.56449,0.39491,0.62492,0.68911,0.86313,0.000209223,0.000209223,0.000209223
65,4064.32,0.42685,0.46843,0.82419,0.65503,0.58039,0.55943,0.39462,0.62344,0.71083,0.86726,0.000203718,0.000203718,0.000203718
66,4124.21,0.38881,0.46536,0.81331,0.63133,0.58531,0.55758,0.39785,0.62809,0.73232,0.86381,0.000198214,0.000198214,0.000198214
67,4185.45,0.40544,0.46268,0.82619,0.63029,0.58028,0.55926,0.40247,0.60294,0.7066,0.85128,0.00019271,0.00019271,0.00019271
68,4246.79,0.42673,0.466,0.83024,0.64646,0.57516,0.55945,0.40508,0.58379,0.71909,0.84668,0.000187205,0.000187205,0.000187205
69,4307.36,0.38992,0.44751,0.82017,0.6442,0.57849,0.56163,0.4049,0.60314,0.69032,0.8562,0.000181701,0.000181701,0.000181701
70,4369.61,0.38147,0.43136,0.80791,0.63506,0.58268,0.56454,0.40808,0.59502,0.67475,0.85373,0.000176196,0.000176196,0.000176196
71,4432.89,0.38947,0.4344,0.81682,0.63926,0.58037,0.56077,0.40469,0.59939,0.67959,0.85261,0.000170692,0.000170692,0.000170692
72,4495.97,0.38376,0.45441,0.81699,0.6523,0.57962,0.5582,0.40178,0.61089,0.68847,0.85146,0.000165188,0.000165188,0.000165188
73,4556.77,0.39764,0.45099,0.8166,0.67667,0.58383,0.5595,0.40311,0.61801,0.71665,0.85667,0.000159683,0.000159683,0.000159683
74,4616.71,0.38802,0.4429,0.82435,0.63408,0.57534,0.5492,0.40949,0.59758,0.69515,0.85072,0.000154179,0.000154179,0.000154179
75,4677.3,0.38723,0.42905,0.818,0.63493,0.58561,0.55028,0.40627,0.6131,0.68476,0.85363,0.000148674,0.000148674,0.000148674
76,4738.46,0.3572,0.41824,0.81996,0.65061,0.57693,0.54842,0.40662,0.59966,0.68036,0.85361,0.00014317,0.00014317,0.00014317
77,4797.86,0.37678,0.43779,0.82245,0.64995,0.56654,0.54613,0.40842,0.61832,0.71117,0.86694,0.000137666,0.000137666,0.000137666
78,4859.02,0.37765,0.42894,0.82282,0.62623,0.56635,0.55027,0.4086,0.60975,0.72155,0.86516,0.000132161,0.000132161,0.000132161
79,4920.58,0.38178,0.42262,0.81545,0.64133,0.57348,0.5658,0.40836,0.60502,0.72707,0.86091,0.000126657,0.000126657,0.000126657
80,4981.98,0.36478,0.42605,0.81213,0.65588,0.57682,0.56157,0.40642,0.60651,0.72124,0.85875,0.000121152,0.000121152,0.000121152
