epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.184,1.15481,3.00905,1.14831,0.80559,0.25077,0.24278,0.17609,0.89605,1.71498,0.97657,0.00019361,0.00019361,0.00019361
2,570.768,0.79769,1.39869,0.94893,0.60854,0.38884,0.35905,0.2666,0.76484,1.05556,0.90853,0.000388324,0.000388324,0.000388324
3,854.355,0.76628,1.00504,0.92612,0.77197,0.43656,0.46984,0.31561,0.78847,0.91348,0.9158,0.000581745,0.000581745,0.000581745
4,1131.06,0.72948,0.89313,0.92694,0.74521,0.49044,0.50683,0.32642,0.83588,0.79542,0.94488,0.000582179,0.000582179,0.000582179
5,1407.61,0.71299,0.74733,0.91777,0.84229,0.46128,0.51379,0.34954,0.74902,0.72815,0.92622,0.000580238,0.000580238,0.000580238
6,1685.13,0.6534,0.69418,0.89052,0.79813,0.52682,0.58164,0.39858,0.73737,0.67042,0.91929,0.000578298,0.000578298,0.000578298
7,1958.13,0.69587,0.65635,0.91813,0.8174,0.60743,0.59496,0.40543,0.74065,0.64319,0.92388,0.000576358,0.000576358,0.000576358
8,2235.13,0.66165,0.62599,0.90257,0.85445,0.53405,0.61533,0.40203,0.76853,0.66436,0.9314,0.000574417,0.000574417,0.000574417
9,2513.4,0.65594,0.6057,0.89693,0.65358,0.59291,0.59308,0.41505,0.7441,0.65858,0.93179,0.000572477,0.000572477,0.000572477
10,2790.85,0.63808,0.61218,0.89735,0.7263,0.64657,0.63988,0.42833,0.75064,0.63781,0.93499,0.000570536,0.000570536,0.000570536
11,3077.08,0.64821,0.5863,0.89715,0.75923,0.54865,0.59748,0.39678,0.72263,0.62952,0.92401,0.000568596,0.000568596,0.000568596
12,3355.33,0.63887,0.5686,0.8804,0.73103,0.60313,0.70178,0.41994,0.71059,0.58836,0.91736,0.000566656,0.000566656,0.000566656
13,3626.38,0.61197,0.53737,0.8806,0.85109,0.61118,0.65199,0.43743,0.72777,0.57728,0.91405,0.000564715,0.000564715,0.000564715
14,3904.32,0.60448,0.50234,0.88149,0.70342,0.59408,0.60791,0.43361,0.73428,0.57965,0.9225,0.000562775,0.000562775,0.000562775
15,4184.89,0.60162,0.49374,0.88093,0.73876,0.58026,0.71209,0.44834,0.73128,0.57714,0.91426,0.000560834,0.000560834,0.000560834
16,4462.11,0.57778,0.46681,0.86612,0.7612,0.59445,0.62939,0.42087,0.72648,0.58943,0.91366,0.000558894,0.000558894,0.000558894
17,4731.07,0.58975,0.48796,0.87561,0.76746,0.61642,0.63893,0.41588,0.74635,0.56726,0.92444,0.000556954,0.000556954,0.000556954
18,5002.08,0.57204,0.446,0.86993,0.7174,0.65236,0.64322,0.41891,0.74307,0.59696,0.93076,0.000555013,0.000555013,0.000555013
19,5271.27,0.59996,0.5171,0.87363,0.85571,0.57412,0.65629,0.46556,0.7216,0.53442,0.91834,0.000553073,0.000553073,0.000553073
20,5549.89,0.58379,0.46249,0.87048,0.82193,0.60723,0.65651,0.45261,0.71555,0.54397,0.91636,0.000551132,0.000551132,0.000551132
21,5821.81,0.59726,0.45661,0.87424,0.78217,0.58537,0.60194,0.43455,0.73244,0.64658,0.92824,0.000549192,0.000549192,0.000549192
22,6092.09,0.57493,0.44569,0.86966,0.74616,0.6592,0.63978,0.45059,0.72588,0.54871,0.92601,0.000547252,0.000547252,0.000547252
23,6364.52,0.58977,0.43408,0.86759,0.75493,0.58051,0.64221,0.46284,0.70495,0.55398,0.90914,0.000545311,0.000545311,0.000545311
24,6636.98,0.552,0.4316,0.86473,0.7538,0.61462,0.66804,0.44788,0.748,0.56689,0.92989,0.000543371,0.000543371,0.000543371
25,6907.5,0.54451,0.42427,0.85324,0.69208,0.66756,0.64366,0.43563,0.69704,0.5624,0.91217,0.00054143,0.00054143,0.00054143
26,7179.46,0.53599,0.41355,0.86234,0.82547,0.62921,0.6676,0.46666,0.70926,0.53,0.91389,0.00053949,0.00053949,0.00053949
27,7454.48,0.55604,0.4328,0.85854,0.84604,0.60284,0.68615,0.46327,0.73797,0.54358,0.92796,0.00053755,0.00053755,0.00053755
28,7745.37,0.52775,0.41754,0.85758,0.78282,0.58461,0.65323,0.43497,0.71587,0.51994,0.92724,0.000535609,0.000535609,0.000535609
29,8024.78,0.52565,0.39434,0.85454,0.7133,0.67341,0.66889,0.46327,0.71585,0.51379,0.92006,0.000533669,0.000533669,0.000533669
30,8295,0.53635,0.41519,0.85833,0.70227,0.67748,0.65063,0.43287,0.70831,0.54494,0.92338,0.000531728,0.000531728,0.000531728
31,8567.9,0.54445,0.39413,0.85999,0.6962,0.6798,0.69374,0.4598,0.71679,0.50506,0.92108,0.000529788,0.000529788,0.000529788
32,8836.95,0.52527,0.40176,0.85851,0.8403,0.62738,0.67971,0.46051,0.72193,0.50393,0.93024,0.000527848,0.000527848,0.000527848
33,9107.63,0.54036,0.40721,0.8517,0.84526,0.58504,0.64643,0.42996,0.74245,0.52399,0.93674,0.000525907,0.000525907,0.000525907
34,9374.42,0.54648,0.40717,0.85313,0.80018,0.59024,0.62857,0.42399,0.70937,0.52177,0.92295,0.000523967,0.000523967,0.000523967
35,9643.58,0.53071,0.37906,0.85141,0.80425,0.63457,0.64886,0.43623,0.69846,0.4966,0.91095,0.000522026,0.000522026,0.000522026
36,9912.65,0.53552,0.40937,0.84966,0.84141,0.56946,0.65509,0.45165,0.73517,0.55302,0.92316,0.000520086,0.000520086,0.000520086
37,10189.3,0.51975,0.396,0.85447,0.66627,0.6439,0.65306,0.4478,0.71749,0.5435,0.91943,0.000518146,0.000518146,0.000518146
38,10456.4,0.52482,0.40678,0.85452,0.68554,0.63412,0.62517,0.43503,0.71268,0.56504,0.92624,0.000516205,0.000516205,0.000516205
39,10724.7,0.50926,0.35768,0.84384,0.73854,0.61197,0.64824,0.44428,0.73018,0.523,0.92593,0.000514265,0.000514265,0.000514265
40,10994.9,0.51758,0.38033,0.85275,0.78328,0.5976,0.62385,0.42195,0.75795,0.52934,0.94029,0.000512324,0.000512324,0.000512324
41,11264.4,0.51657,0.3874,0.84871,0.82537,0.58128,0.64073,0.42493,0.72708,0.55627,0.93294,0.000510384,0.000510384,0.000510384
42,11537.1,0.49637,0.36793,0.83588,0.79118,0.63367,0.64388,0.42528,0.72931,0.52701,0.93714,0.000508444,0.000508444,0.000508444
43,11806.5,0.49729,0.37308,0.84311,0.79782,0.62164,0.66761,0.44202,0.73968,0.53302,0.93298,0.000506503,0.000506503,0.000506503
44,12075.5,0.50517,0.37537,0.84123,0.79469,0.59377,0.64862,0.44693,0.73004,0.52736,0.9258,0.000504563,0.000504563,0.000504563
45,12345.4,0.49224,0.36308,0.83836,0.83086,0.56751,0.64556,0.4477,0.7115,0.56055,0.92728,0.000502622,0.000502622,0.000502622
46,12616.1,0.49341,0.37369,0.84202,0.74371,0.63207,0.67838,0.461,0.71944,0.56318,0.92985,0.000500682,0.000500682,0.000500682
47,12883.1,0.48455,0.3628,0.83474,0.81202,0.64332,0.66393,0.45115,0.71682,0.52598,0.92574,0.000498742,0.000498742,0.000498742
48,13167.8,0.51116,0.49121,0.84434,0.79494,0.64169,0.67623,0.46167,0.73903,0.55073,0.94089,0.000496801,0.000496801,0.000496801
49,13436.6,0.48951,0.37433,0.83549,0.80223,0.69061,0.70356,0.48464,0.73613,0.52566,0.94132,0.000494861,0.000494861,0.000494861
50,13704.9,0.47773,0.34655,0.83387,0.85351,0.64848,0.69875,0.48795,0.71358,0.50225,0.91355,0.00049292,0.00049292,0.00049292
51,13975.9,0.47905,0.35871,0.83991,0.88517,0.60624,0.68952,0.46601,0.71639,0.51465,0.91991,0.00049098,0.00049098,0.00049098
52,14246.1,0.4798,0.34906,0.83783,0.8636,0.61768,0.66932,0.44567,0.71535,0.51251,0.92671,0.00048904,0.00048904,0.00048904
53,14517.4,0.48303,0.34603,0.83103,0.82142,0.6581,0.66236,0.44485,0.74692,0.51469,0.9511,0.000487099,0.000487099,0.000487099
54,14792.2,0.48627,0.34532,0.83286,0.80277,0.61732,0.63472,0.44087,0.71673,0.58799,0.91776,0.000485159,0.000485159,0.000485159
55,15062.6,0.46027,0.34163,0.8402,0.81005,0.6652,0.65975,0.44722,0.70712,0.53261,0.92898,0.000483218,0.000483218,0.000483218
56,15329,0.49304,0.35661,0.83423,0.81028,0.64556,0.64898,0.4404,0.69747,0.52267,0.92755,0.000481278,0.000481278,0.000481278
57,15595.2,0.47636,0.33972,0.83859,0.839,0.62885,0.66389,0.4444,0.68025,0.50298,0.92484,0.000479338,0.000479338,0.000479338
58,15863.3,0.46859,0.34703,0.83018,0.8343,0.63591,0.64653,0.4331,0.71639,0.53363,0.93142,0.000477397,0.000477397,0.000477397
59,16129.9,0.45182,0.35309,0.83013,0.73461,0.68661,0.6581,0.43924,0.69071,0.5382,0.92023,0.000475457,0.000475457,0.000475457
60,16400.7,0.47128,0.36968,0.83347,0.73732,0.67159,0.67427,0.45268,0.70699,0.54399,0.92778,0.000473516,0.000473516,0.000473516
61,16686.9,0.45103,0.32738,0.82971,0.83847,0.57642,0.62867,0.43088,0.71781,0.56503,0.9278,0.000471576,0.000471576,0.000471576
62,16952.3,0.46432,0.3443,0.83818,0.82972,0.58865,0.6612,0.4348,0.72478,0.52433,0.94512,0.000469636,0.000469636,0.000469636
63,17218,0.47356,0.33852,0.83095,0.79622,0.6578,0.6672,0.44235,0.72414,0.52727,0.93514,0.000467695,0.000467695,0.000467695
64,17486.2,0.46636,0.33929,0.82943,0.7626,0.67414,0.68345,0.45714,0.70149,0.5015,0.92516,0.000465755,0.000465755,0.000465755
65,17752.2,0.44943,0.32885,0.83663,0.64613,0.70039,0.68411,0.45592,0.7362,0.51672,0.92781,0.000463814,0.000463814,0.000463814
66,18018.3,0.44857,0.33631,0.83189,0.67677,0.65382,0.67465,0.44965,0.70318,0.54375,0.93041,0.000461874,0.000461874,0.000461874
67,18288.2,0.44798,0.33329,0.83032,0.83639,0.59156,0.66631,0.45084,0.74555,0.54988,0.95192,0.000459934,0.000459934,0.000459934
68,18555.3,0.45517,0.32638,0.83348,0.82761,0.60438,0.66541,0.46031,0.71662,0.53079,0.93535,0.000457993,0.000457993,0.000457993
69,18826.6,0.46445,0.34165,0.83702,0.74415,0.66857,0.66847,0.45153,0.78551,0.56811,0.93915,0.000456053,0.000456053,0.000456053
70,19092.9,0.4422,0.31652,0.82724,0.82295,0.6497,0.67728,0.44865,0.74725,0.55744,0.94345,0.000454112,0.000454112,0.000454112
71,19361.1,0.43164,0.30929,0.82879,0.79548,0.65893,0.66857,0.45202,0.70279,0.52992,0.93481,0.000452172,0.000452172,0.000452172
