epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1800.16,0.90504,0.53252,0.94458,0.77781,0.78362,0.85207,0.62448,1.13857,0.6484,1.08023,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1855.69,0.89183,0.52473,0.94281,0.82448,0.75386,0.84424,0.63097,1.12017,0.62518,1.06573,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,1911.34,0.8897,0.52185,0.93978,0.85006,0.75511,0.84022,0.62845,1.10595,0.63051,1.06562,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,1966.97,0.87614,0.51072,0.93432,0.83194,0.77054,0.83889,0.63122,1.10738,0.62283,1.06485,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,2022.49,0.86933,0.50955,0.9348,0.83434,0.78217,0.85652,0.63991,1.10745,0.6283,1.06798,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,2074.84,0.86265,0.50537,0.93449,0.85858,0.75457,0.8478,0.63757,1.08754,0.61986,1.05743,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,2130.58,0.85171,0.49876,0.92775,0.86797,0.7559,0.86344,0.63727,1.11741,0.62112,1.07546,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,2186.15,0.85626,0.49357,0.92498,0.73835,0.83486,0.85867,0.63292,1.09851,0.61571,1.06697,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,2241.83,0.8381,0.49095,0.92348,0.77603,0.81962,0.85287,0.63584,1.09617,0.61233,1.06422,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,2297.53,0.83109,0.48452,0.91852,0.86406,0.76546,0.85299,0.64855,1.06404,0.59907,1.05145,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,2353.37,0.82639,0.48525,0.92036,0.8453,0.76484,0.85585,0.64884,1.07765,0.61498,1.06054,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
43,2409.04,0.81995,0.47908,0.91644,0.86033,0.75343,0.85036,0.64849,1.09065,0.60691,1.06075,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
44,2464.7,0.81102,0.4759,0.91203,0.87258,0.75338,0.85808,0.65105,1.07226,0.59652,1.06272,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581,0.025743,0.008581
45,2520.43,0.8036,0.47052,0.90898,0.86982,0.76433,0.86212,0.65247,1.09116,0.58791,1.06913,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
46,2576.9,0.79933,0.47055,0.90842,0.86873,0.76959,0.85255,0.64962,1.07701,0.60723,1.06036,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
47,2632.89,0.79248,0.46425,0.90633,0.79538,0.79136,0.85554,0.64704,1.08372,0.5902,1.06673,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
48,2689.56,0.78796,0.46322,0.90613,0.86696,0.7948,0.8627,0.64758,1.06978,0.58809,1.05905,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449,0.025347,0.008449
49,2746.75,0.78701,0.45919,0.90401,0.83205,0.78898,0.87048,0.65014,1.07406,0.59185,1.0642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,2803.5,0.77587,0.45759,0.90184,0.83597,0.79373,0.871,0.65689,1.06933,0.59438,1.06475,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,2860.6,0.76634,0.45021,0.89736,0.83886,0.77918,0.85565,0.65268,1.06656,0.58087,1.06134,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,2917.87,0.77457,0.45208,0.90266,0.873,0.77435,0.86121,0.64817,1.06993,0.57219,1.06165,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
